"cell_culture"	"mean_max_resp"	"plate_id"	"fibro_id"
"1"	"2019-09-10_1_c1"	219590.23	"2019-09-10_1"	"c1"
"2"	"2019-09-10_1_c2"	222035.723333333	"2019-09-10_1"	"c2"
"3"	"2019-09-10_1_c3"	222499.253333333	"2019-09-10_1"	"c3"
"4"	"2019-09-10_1_p3.I.2"	178027.463333333	"2019-09-10_1"	"p3.I.2"
"5"	"2019-09-10_1_p3.II.2"	194963.69	"2019-09-10_1"	"p3.II.2"
"6"	"2019-09-10_1_p3.III.1"	176870.048333333	"2019-09-10_1"	"p3.III.1"
"7"	"2019-09-10_2_c1"	249195.92	"2019-09-10_2"	"c1"
"8"	"2019-09-10_2_c2"	250673.983333333	"2019-09-10_2"	"c2"
"9"	"2019-09-10_2_c3"	231448.131666667	"2019-09-10_2"	"c3"
"10"	"2019-09-10_2_p6.I.2"	93641.9283333333	"2019-09-10_2"	"p6.I.2"
"11"	"2019-09-10_2_p6.II.1"	157707.718333333	"2019-09-10_2"	"p6.II.1"
"12"	"2019-09-17_1_c1"	239662.848	"2019-09-17_1"	"c1"
"13"	"2019-09-17_1_c2"	220112.74	"2019-09-17_1"	"c2"
"14"	"2019-09-17_1_c3"	207812.025	"2019-09-17_1"	"c3"
"15"	"2019-09-17_1_p3.I.2"	171916.282	"2019-09-17_1"	"p3.I.2"
"16"	"2019-09-17_1_p3.II.2"	202859.573333333	"2019-09-17_1"	"p3.II.2"
"17"	"2019-09-17_1_p3.III.1"	181839.05	"2019-09-17_1"	"p3.III.1"
"18"	"2019-09-17_2_c1"	259387.346666667	"2019-09-17_2"	"c1"
"19"	"2019-09-17_2_c2"	226936.743333333	"2019-09-17_2"	"c2"
"20"	"2019-09-17_2_c3"	223054.448333333	"2019-09-17_2"	"c3"
"21"	"2019-09-17_2_p3.I.2"	156131.962	"2019-09-17_2"	"p3.I.2"
"22"	"2019-09-17_2_p6.II.1"	134905.948333333	"2019-09-17_2"	"p6.II.1"
"23"	"2019-09-19_1_c1"	192300.5175	"2019-09-19_1"	"c1"
"24"	"2019-09-19_1_c2"	195725.3125	"2019-09-19_1"	"c2"
"25"	"2019-09-19_1_c3"	142755.458	"2019-09-19_1"	"c3"
"26"	"2019-09-19_1_p3.I.2"	155731.043333333	"2019-09-19_1"	"p3.I.2"
"27"	"2019-09-19_1_p3.II.2"	185472.43	"2019-09-19_1"	"p3.II.2"
"28"	"2019-09-19_1_p3.III.1"	164628.81	"2019-09-19_1"	"p3.III.1"
"29"	"2019-09-19_2_c1"	191599.546	"2019-09-19_2"	"c1"
"30"	"2019-09-19_2_c2"	218328.716666667	"2019-09-19_2"	"c2"
"31"	"2019-09-19_2_c3"	173979.478333333	"2019-09-19_2"	"c3"
"32"	"2019-09-19_2_p3.II.2"	120168.621666667	"2019-09-19_2"	"p3.II.2"
"33"	"2019-09-19_2_p6.II.1"	107874.293333333	"2019-09-19_2"	"p6.II.1"
"34"	"2020-07-24_1_c1"	247652.288	"2020-07-24_1"	"c1"
"35"	"2020-07-24_1_c2"	273350.053333333	"2020-07-24_1"	"c2"
"36"	"2020-07-24_1_c3"	231110.038333333	"2020-07-24_1"	"c3"
"37"	"2020-07-24_1_p11.II.1"	154462.573333333	"2020-07-24_1"	"p11.II.1"
"38"	"2020-07-24_1_p4.I.2"	108636.781666667	"2020-07-24_1"	"p4.I.2"
"39"	"2020-07-24_1_p4.II.2"	77385.8083333333	"2020-07-24_1"	"p4.II.2"
"40"	"2020-07-28_1_c1"	588087.698	"2020-07-28_1"	"c1"
"41"	"2020-07-28_1_c2"	184597.921666667	"2020-07-28_1"	"c2"
"42"	"2020-07-28_1_c3"	255712.281666667	"2020-07-28_1"	"c3"
"43"	"2020-07-28_1_p11.II.1"	130686.428333333	"2020-07-28_1"	"p11.II.1"
"44"	"2020-07-28_1_p4.I.2"	118388.74	"2020-07-28_1"	"p4.I.2"
"45"	"2020-07-28_1_p4.II.2"	109733.08	"2020-07-28_1"	"p4.II.2"
"46"	"2020-07-30_1_c1"	163060.345	"2020-07-30_1"	"c1"
"47"	"2020-07-30_1_c2"	374818.668333333	"2020-07-30_1"	"c2"
"48"	"2020-07-30_1_c3"	232321.51	"2020-07-30_1"	"c3"
"49"	"2020-07-30_1_p11.II.1"	170527.668	"2020-07-30_1"	"p11.II.1"
"50"	"2020-07-30_1_p4.II.2"	76653.6566666667	"2020-07-30_1"	"p4.II.2"
