time	well1	fibro_id	time_exact	ocr	ecar	ppr	plate_id
1	A01	Background	1.306	0	0	0	2019-09-10_1
1	A02	Background	1.306	0	0	0	2019-09-10_1
1	A03	Background	1.306	0	0	0	2019-09-10_1
1	A04	Background	1.306	0	0	0	2019-09-10_1
1	A05	Background	1.306	0	0	0	2019-09-10_1
1	A06	Background	1.306	0	0	0	2019-09-10_1
1	A07	Background	1.306	0	0	0	2019-09-10_1
1	A08	Background	1.306	0	0	0	2019-09-10_1
1	A09	Background	1.306	0	0	0	2019-09-10_1
1	A10	Background	1.306	0	0	0	2019-09-10_1
1	A11	Background	1.306	0	0	0	2019-09-10_1
1	A12	Background	1.306	0	0	0	2019-09-10_1
1	B01	c1 3/4	1.306	130,612.66	86,431.95	153,710.57	2019-09-10_1
1	B02	c1 3/4	1.306	143,875.67	108,926.93	193,715.65	2019-09-10_1
1	B03	c1 3/4	1.306	117,020.38	127,406.75	226,580.17	2019-09-10_1
1	B04	c1 3/4	1.306	128,770.87	75,751.80	134,717.00	2019-09-10_1
1	B05	c1 3/4	1.306	130,317.77	82,235.85	146,248.23	2019-09-10_1
1	B06	c1 3/4	1.306	129,734.62	75,420.64	134,128.07	2019-09-10_1
1	B07	c1 5/6	1.306	130,257.78	85,008.79	151,179.63	2019-09-10_1
1	B08	c1 5/6	1.306	128,024.26	86,517.75	153,863.16	2019-09-10_1
1	B09	c1 5/6	1.306	136,787.94	95,323.99	169,524.19	2019-09-10_1
1	B10	c1 5/6	1.306	125,194.02	84,608.52	150,467.78	2019-09-10_1
1	B11	c1 5/6	1.306	123,147.00	87,607.95	155,801.99	2019-09-10_1
1	B12	c1 5/6	1.306	115,791.98	85,215.75	151,547.69	2019-09-10_1
1	C01	c3 3/4	1.306	140,332.42	50,440.24	89,702.92	2019-09-10_1
1	C02	c3 3/4	1.306	155,221.35	116,621.92	207,400.43	2019-09-10_1
1	C03	c3 3/4	1.306	155,835.37	94,069.10	167,292.48	2019-09-10_1
1	C04	c3 3/4	1.306	153,488.20	104,376.49	185,623.15	2019-09-10_1
1	C05	c3 3/4	1.306	147,951.79	70,044.61	124,567.33	2019-09-10_1
1	C06	c3 3/4	1.306	159,094.23	71,516.16	127,184.33	2019-09-10_1
1	C07	c3 5/6	1.306	152,684.73	89,212.62	158,655.72	2019-09-10_1
1	C08	c3 5/6	1.306	162,455.48	101,495.22	180,499.09	2019-09-10_1
1	C09	c3 5/6	1.306	146,924.78	87,276.57	155,212.66	2019-09-10_1
1	C10	c3 5/6	1.306	153,001.41	79,448.17	141,290.63	2019-09-10_1
1	C11	c3 5/6	1.306	144,766.08	83,770.27	148,977.04	2019-09-10_1
1	C12	c3 5/6	1.306	132,189.08	104,631.24	186,076.21	2019-09-10_1
1	D01	c2 3/4	1.306	144,196.19	62,800.42	111,684.27	2019-09-10_1
1	D02	c2 3/4	1.306	151,949.48	77,694.13	138,171.24	2019-09-10_1
1	D03	c2 3/4	1.306	153,572.83	91,000.14	161,834.65	2019-09-10_1
1	D04	c2 3/4	1.306	148,049.86	70,074.55	124,620.58	2019-09-10_1
1	D05	c2 3/4	1.306	157,477.52	62,008.02	110,275.07	2019-09-10_1
1	D06	c2 3/4	1.306	160,338.11	70,349.56	125,109.66	2019-09-10_1
1	D07	c2 5/6	1.306	169,609.35	75,673.32	134,577.43	2019-09-10_1
1	D08	c2 5/6	1.306	134,570.13	61,646.28	109,631.74	2019-09-10_1
1	D09	c2 5/6	1.306	146,215.71	62,363.29	110,906.88	2019-09-10_1
1	D10	c2 5/6	1.306	150,458.03	65,607.00	116,675.49	2019-09-10_1
1	D11	c2 5/6	1.306	136,727.10	65,898.53	117,193.95	2019-09-10_1
1	D12	c2 5/6	1.306	147,538.73	70,542.78	125,453.28	2019-09-10_1
1	E01	p3.I.2 3/4	1.306	110,765.75	137,691.76	244,871.02	2019-09-10_1
1	E02	p3.I.2 3/4	1.306	127,087.17	110,376.40	196,293.39	2019-09-10_1
1	E03	p3.I.2 3/4	1.306	146,841.02	107,617.27	191,386.54	2019-09-10_1
1	E04	p3.I.2 3/4	1.306	143,973.17	114,475.75	203,583.67	2019-09-10_1
1	E05	p3.I.2 3/4	1.306	124,939.17	90,583.23	161,093.21	2019-09-10_1
1	E06	p3.I.2 3/4	1.306	122,070.22	89,029.09	158,329.33	2019-09-10_1
1	E07	p3.I.2 5/6	1.306	136,282.83	87,619.98	155,823.37	2019-09-10_1
1	E08	p3.I.2 5/6	1.306	136,249.48	107,438.38	191,068.42	2019-09-10_1
1	E09	p3.I.2 5/6	1.306	121,223.76	102,598.54	182,461.24	2019-09-10_1
1	E10	p3.I.2 5/6	1.306	131,029.27	97,531.03	173,449.18	2019-09-10_1
1	E11	p3.I.2 5/6	1.306	116,323.95	93,314.19	165,949.95	2019-09-10_1
1	E12	p3.I.2 5/6	1.306	105,829.84	127,947.63	227,542.07	2019-09-10_1
1	F01	p3.II.2 3/4	1.306	114,620.07	81,323.87	144,626.36	2019-09-10_1
1	F02	p3.II.2 3/4	1.306	138,719.76	84,371.03	150,045.44	2019-09-10_1
1	F03	p3.II.2 3/4	1.306	140,054.38	90,123.15	160,275.01	2019-09-10_1
1	F04	p3.II.2 3/4	1.306	133,768.00	86,168.92	153,242.81	2019-09-10_1
1	F05	p3.II.2 3/4	1.306	154,314.76	82,801.38	147,253.97	2019-09-10_1
1	F06	p3.II.2 3/4	1.306	135,676.10	63,788.29	113,441.10	2019-09-10_1
1	F07	p3.II.2 5/6	1.306	138,461.74	53,980.47	95,998.86	2019-09-10_1
1	F08	p3.II.2 5/6	1.306	133,795.98	65,445.21	116,387.76	2019-09-10_1
1	F09	p3.II.2 5/6	1.306	124,271.34	55,889.71	99,394.26	2019-09-10_1
1	F10	p3.II.2 5/6	1.306	133,249.13	74,170.72	131,905.20	2019-09-10_1
1	F11	p3.II.2 5/6	1.306	121,398.58	75,455.52	134,190.09	2019-09-10_1
1	F12	p3.II.2 5/6	1.306	115,623.30	67,090.18	119,313.17	2019-09-10_1
1	G01	p3.III.1 3/4	1.306	85,034.94	59,544.13	105,893.28	2019-09-10_1
1	G02	p3.III.1 3/4	1.306	115,747.64	75,040.58	133,452.18	2019-09-10_1
1	G03	p3.III.1 3/4	1.306	108,546.45	80,548.52	143,247.49	2019-09-10_1
1	G04	p3.III.1 3/4	1.306	123,055.33	73,757.38	131,170.12	2019-09-10_1
1	G05	p3.III.1 3/4	1.306	114,082.41	69,345.35	123,323.78	2019-09-10_1
1	G06	p3.III.1 3/4	1.306	117,296.01	63,086.05	112,192.23	2019-09-10_1
